Moncale: 980.935416; 4718.512209!
Tasse: 14.799963; 5315.049963!
Dornot: 671.996331; 5444.247636!
Beinheim: 897.376725; 5423.822415!
Berre-des-Alpes: 813.450291; 4865.208588!
Cendrecourt: 657.849492; 5310.628722!
Saint-Gregoire-du-Vievre: 70.45836; 5466.076563!
Goifieux: 559.728045; 5021.876319!
Oradour: -3.699963; 5094.9!
Preuilly-la-Ville: 107.448777; 5183.354346!
Claville-Motteville: 132.109425; 5505.533511!
Perigueux: 79.550037; 5015.349963!
La Fraysse: 490.008501; 5022.231186!
Villemomble: 277.5; 5426.049963!
Fay-aux-Loges: 237.552876; 5319.923529!
Dornon: 559.792869; 5073.330258!
Peronville: 176.179089; 5335.421016!
Lorrez-le-Bocage: 322.165512; 5354.347848!
Ecardenville-la-Campagne: 93.923427; 5452.192017!
Lafraye: 245.571294; 5493.967977!
Ormoy-la-Riviere: 238.626357; 5372.957331!
Les Guiardes: -131.349963; 5124.962463!
Sainville: 208.635489; 5374.042134!
Laure: 579.475944; 4815.777624!
Conde-les-Autry: 538.820418; 5466.892191!
Sarny: 498.534855; 4982.777346!
Ressons-le-Long: 349.565529; 5482.043025!
Guerquesalles: 23.295348; 5428.322688!
Cap-d'Ail: 822.160794; 4853.132787!
La Nave: -83.903679; 4926.059454!
Clerieux: 550.490403; 5003.571087!
La Sauvagie: 1030.369377; 4617.45792!
Menetreuille: 389.904372; 5232.22587!
Tournavaux: 531.23268; 5535.712746!
Rosieres-sur-Barbeche: 739.057092; 5251.934142!
Neuville-en-Beaumont: -177.752847; 5477.573832!
Coincourt: 733.54017; 5405.801121!
Purettoni: 1049.062998; 4727.06376!
Les Nantiers: 343.510146; 5294.475003!
Zuytpeene: 269.760414; 5638.214697!
Montagne: 576.392364; 5010.757005!
Montmachoux: 332.210124; 5363.356053!
Roufiac: 55.160007; 4945.496664!
Caratello: 1038.175119; 4669.698405!
Cerizy: 369.295668; 5523.475551!
Labiras: 332.554335; 4856.816322!
Roufiat: 211.02543; 5039.796159!
Vozelles: 370.413771; 5120.832153!
La Goula: 779.413695; 5030.858106!
Vebron: 397.241139; 4910.61669!
Le Val du Tellier: 87.014676; 5387.872734!
Montagny: 528.117465; 5064.595668!
Petit Chaumont: 370.037814; 5311.59975!
Flamare: 79.948416; 5503.184862!
Arnaud: 445.262958; 5027.638995!
